category,title,summary,contents
물품,가,죄수의 목에 채우는 형구.,"보통 ‘칼’이라고 하였다. 칼은 마른 나무널판으로 만든 형틀로 죄수의 목에 씌워 보행을 불가능하게 한 것이다. 칼과 같은 나무형틀로, 손에 채우는 추가 있는데, 이는 발에 채우는 질과 한 벌로 되어 있었다. 죄수에게 가추 등을 채우는 형벌은 당·송시대의 옥관령에서 이미 정비되었다. 조선시대에는  규정을 그대로 적용하여 가를 만들었다. 가의 길이는 5자 5치, 두활은 1자 5치이고, 무게는 사죄인에게 씌우는 것은 25근, 도형과 유형은 각 20근, 장죄는 15근이며, 그 규격을 나무칼에 새겨놓았다. 정조 때의 에는 길이 5자 5치, 두활 1자 2치이고, 무게는 22근, 18근, 14근으로 각각 규정하여 형을 치르는 자의 고통을 다소 덜어주었다. 칼을 쓰고 추국이나 고신을 받은 죄인을 가수라 하였다. 양반에게는 원칙적으로 칼을 씌우는 것이 금지되었다."
문헌,20공신회맹축 - 보사공신녹훈후,1694년 갑술환국으로 재집권한 서인이 보사공신 회맹 때의 회맹문과 복훈 때의 축문 등을 모아 엮은 관찬서.,"숙종대에 갑술환국으로 서인이 재집권하면서 보사공신 중 1689년(숙종 15) 기사환국으로 파훈되었던 5명의 공신을 복훈하였다. 이들이 복훈된 사실을 종묘에 고하면서 보사공신 회맹시의 회맹문과 회맹록, 축문 등 일련의 기록을 작성하여 1축으로 완성하였다. 2007년 보물로 지정되었고, 2021년 2월 국보로 승격되었다. 경기도 성남시 분당구 한국학중앙연구원에 소장되어 있다. 1680년(숙종 6) 경신대출척에 공을 세운 신하에게 보사공신호가 내려졌는데, 서인 세력이 대부분을 차지했다. 이후 1689년(숙종 15) 기사환국으로 남인이 득세하면서 일부에 대해 공신호가 취소되었다가 1694년(숙종 20) 갑술옥사로 서인이 재집권하면서 다시 훈명을 추록하였다. 이 문서는 보사공신 녹훈 시의 회맹문과 복훈 시의 축문 등을 동일한 축에 기록하여 하나의 권축장으로 꾸민 것이다. 세로 88.5㎝, 가로 2,414㎝의 장대한 크기에 주사란이 선명하며 끝에 권축을 달아 고급스럽고 화려한 형태를 띠고 있다. 크게 두 가지로 구분할 수 있다. 하나는 1680년(숙종 6) 8월에 있었던 보사공신회맹 시의 회맹문이다. 공신과 그 자손으로서 국은을 충심으로 갚아 나가고 공신 자손들끼리도 서로 단결할 것을 천지신명께 맹세한다는 내용이다. 이어지는 회맹록에는 회맹에 참여한 공신과 자손의 군호 · 공신호 · 직함 · 성명을 기록하였다. 그리고 불참자의 명단을 신병, 재상, 발병, 연유, 변장재외, 피적 등 사유별로 구분하여 실었다. 작성 일자를 강희 19년 8월로 기록하였다. 두 번째는 1694년(숙종 20) 6월에 복훈 사실을 종묘에 고하면서 쓴 축문을 기록하고 작성 일자를 적었다. 그리고 세필로 ‘기사년에 파훈되고 갑술년에 복훈되었다’는 내용을 주기한 후, 그 위에 ‘시명지보’를 찍었다. 조선시대 공신 녹훈과 삭훈 과정, 숙종대 정국과 변화 양상 등을 연구하는 데에 귀중한 자료이다."
문헌,20공신회맹축 - 영국공신녹훈후,"1646년 9월, 조선 제16대 왕 인조가 영국공신을 녹훈한 이후에 20공신 및 그 자손들과 함께 회맹하여 천지산천과 종묘사직에 고하고 연명한 것을 모아 엮은 관찬서.","이십공신회맹축은 1646년(인조 24)에 영국공신을 녹훈한 것을 계기로 개국공신부터 영국공신에 이르기까지의 20공신과 그 자손들을 불러 모아 회맹제를 거행하고 작성한 것으로, 회맹문과 참여자의 명단인 회맹록 등을 적어 만든 1축의 회맹 문서이다. 2007년 보물로 지정되었고, 경기도 성남시 분당구 한국학중앙연구원에 소장되어 있다. 1644년(인조 22) 3월에 심기원 등이 인조를 제거하고 회은군을 왕으로 추대하려 한다는 고변으로 처형당했는데, 그 후 이 역모사건에 공을 세운 이들에게 영국공신이라는 훈호가 내려졌다. 그 후 1646년(인조 24) 9월에 개국공신부터 영국공신까지의 20공신과 그 자손들을 거느리고 회맹제를 행하고 이때 회맹문과 회맹록을 문서화하여 권축장으로 꾸민 것이다. 세로 89.2㎝, 가로 2,413㎝의 장대한 크기에 주사란이 선명하며 끝에 권축을 달아 고급스럽고 화려한 형태를 띠고 있다. 국왕과 왕자, 공신과 그 자손들이 모여서 동맹을 서약한 후, 공신과 그 자손으로서 나라로부터 받은 은혜를 함께 갚고 공신 자손들끼리도 서로 단결할 것을 천지신명께 맹세한다는 내용이다. 이어지는 회맹록에는 김유 등 영국공신과 여타 공신 및 그 적장손들의 이름과 직함 · 공신호 등을 기록하였다. 불참한 사람의 경우, 신병 · 재상 등 불참 사유별로 분류하여 이들의 명단도 수록하였다. 끝 부분에는 작성일자가 밝혀져 있다. 조선시대 공신과 그 자손들의 동향 및 정치 양상을 연구하는 데에 귀중한 자료일 뿐 아니라, 서지학적으로 공신 관련 문서류를 연구하는 데에도 활용가치가 높다."
제도,가감역관,조선 후기 선공감의 종9품 임시관직.,"1718년(숙종 44)에 처음으로 설치하였고, 정원은 3인이다. 이들은 감역관과 함께 국가의 토목 사업과 영선 사업을 감독하는 직책을 맡았다. 가감역관직에 있는 자는 실직(감역관)에 결원이 있을 때마다 임용 차례에 따라 승진되었으며, 임시직 때의 근무 일수를 포함하여 900일을 채우면 참상관으로 승진하였다."
제도,가경전,"조선시대, 기존 양안에 등록되지 않았다가 양전을 통해 새로 양안에 등록된 토지.","조선시대에는 원칙적으로 20년마다 양전을 실시하여 새로 양안을 작성하도록 하였다. 새로 더해진 경작지라는 의미의 가경전은 기존 양안에 등록되지 않았다가 양전을 통해 새로 양안에 등록된 토지를 가리킨다. 기존 양안에 이미 기재되어 있는 토지를 가리키는 원전주1과 대비되어 사용되는 용어이다. 가경전은 대개 개간한 지 얼마 지나지 않은 토지일 가능성이 높다. 그래서 양안에 새로 등재될 때 항상 경작하는 정전이 아니라 묵혔다가 경작하기도 하는 속전으로 분류되는 것이 일반적이다. 그러나 기존 양안에 없던 새로운 토지라는 의미이므로 경작한 지 이미 오래된 토지인 경우도 있을 수 있다. 오히려 기존 양안에 이미 진전으로 등록되어 있던 토지가 새로 개간된 경우에는 가경전에 포함되지 않는다. 1720년(숙종 46)에 작성된 을 기준으로 설명하면, 경자양안에서 가경전은 이전의 양안인 에 기재되지 않았던 토지로서, 갑술양전으로부터 경자양전 사이의 약 80여 년 사이에 새로 개간된 토지를 가리킨다. 에서는 기존 양안에 기재되지 않았던 토지의 경우는 상단에 별도로 ‘가’라는 표기를 달아 구별하도록 하였다. 에 진전으로 기재되어 있던 토지가 그 사이에 개간된 경우는 경자양전에서의 가경전에 포함되지 않는다. 에서 가경전은 불안정한 생산성을 고려하여 속전과 함께 경작하는 경우에만 세금을 거두도록 규정되었다. 또한 새로운 가경전의 경우에는 완전히 재해를 입은 재상전주3 및 모두 묵힌 진전과 함께 경작자가 권농관에게 신고하고 수령과 관찰사의 조사를 거쳐 세금을 정하도록 하였다. 양안에 등재되지 않은 토지라고 하더라도 실제 부세 수취 대상에서 완전히 제외되었던 것은 아니었다. 대개는 양전 이후 새로 경작된 토지라고 할지라도 해당 지역의 수령에 의해 파악되어 부세 행정에 포함되는 경우가 일반적이었으며, 결국 호조의 수조안주6에도 이미 올라있는 경우가 많았다. 따라서 양전을 통해 가경전으로 새롭게 양안에 등재된 토지는 부세 수취라는 점에서는 양전 이전과 비교해서 큰 차이가 없을 수 있었다. 그러나 가경전이 늘어나는 것은 원전의 결수가 증가하는 효과가 있으며, 국가의 공식적인 부세 행정으로 포섭된다는 의미가 있다. 가경전으로 새롭게 양안에 등재된 토지는 비로소 전품이 매겨지게 된다. 에서는 주변 토지의 전품에 준하도록 규정하였고, 현종 대 갑술양전에서도 해마다 경작하는 토지인 경우에는 가경전이라도 정전의 예에 따라 등급을 나누도록 하였다. 그러나 숙종 대 경자양전에서는 새로 확보한 가경전에 대해 6등의 최하 등급을 매기는 것을 기본 원칙으로 하였다. 다만 비옥한 가경전의 경우에는 주변의 원전보다 1등을 낮추어 전품을 부여하였다. 이러한 규정은 최대한 가경전을 많이 확보하여 양안에 등재하려는 취지에서 마련된 것이었다. 조선 후기 양안을 통한 가경전의 실상에 대한 연구에 따르면, 가경전은 대개 산전주4을 중심으로 소규모로 개간된 영세한 토지인 경우가 많았으며, 밭이 차지하는 비율이 논의 2~3배에 이르는 경우가 대부분이었다. 다른 한편으로 양반 신분의 주민이 많은 지역이 가경전의 규모와 비율이 평민층이 우세한 지역보다 더 적은 현상이 관찰되기도 한다. 이는 양반층이 진황지주5 개간에 소극적이었음을 보여 주기보다는 한번 양안에 등재된 토지는 은결로 처리하여 탈세하기 어렵기 때문에 양반층들이 실제 경작하는 토지의 상당 부분을 양안에서 누락시킨 데에서 연유한 것으로 보인다."
문헌,가고,19세기 후반 형사사건의 판결사례를 모아 2책으로 편찬한 판례집.,"일종의 판례집으로서 주로 피살자, 변사자의 시체 검안을 취급한 내용이 많으나 일반 상해사건, 분묘 도굴, 위조 공문서, 채무 변제 및 환곡의 관리에 대한 조사 보고서도 포함되어 있다. 편집 연대는 19세기 후반으로 생각되며, 서울 및 전국 각지에서 일어난 사건들을 수록한 것으로 보아 형조에 보고된 판결문들을 추려 모은 것으로 보인다. 형관 및 지방관들의 재판에 참고 자료로 쓰기 위해 편집되었을 것이다. 상권에는 서울 삼청동 변사자의 자살 확인 판결 등 36건의 시체 검안과 경상도 비안 외서면의 분묘 도굴 사건 등 11건의 일반 사안이 수록되어 있고, 하권에는 상주 박세은의 상해 사건 등 56건의 형사 사건과 7건의 각종 조사 보고서가 수록되어 있다. 그 중에는 이용재란 인물이 징을 치면서 억울한 일을 호소한 격쟁사건에 대한 보고서도 포함되어 있다. 그러나 이 책의 대부분은 피살, 변사, 상해 등 인명 손상에 대해 법의학적 검안과 그것을 바탕으로 한 원인 규명을 통해 합리적 판결에 이르는 과정을 보여주고 있다. 조선 후기의 형사 제도, 판례 연구에 귀중한 자료가 될 뿐 아니라 당시의 사회상을 이해하는 데도 유용한 자료이다. 서울대학교 규장각 소장 도서이다."
제도,가관,조선시대 법정 정원 외에 추가로 임용하거나 중요 관직에 결원이 생겼을 경우 타관이 겸임하는 임시관직.,"조선 초기에 가관이 임명된 것을 시작으로, 연산군 이후부터는 여러 가지 명목의 가관들이 많이 두어지게 되었다. 특히, 인력이 부족한 선공감 · 사옹원 · 통례원 등에서 많은 임시직을 활용하고 있었다. 이는 과다한 행정업무의 처리를 위하여 필요한 일이었으나, 업무가 적은 관서에까지 남용되는 일이 많았고, 관직 희망자들이 관료로 들어갈 수 있는 통로로 이용되기도 하였다. 이에 따라 추가예산이 소요되었고, 정식관원들의 직무위임으로 인한 관리들의 기강해이와 가관들의 직권남용 등의 폐단을 초래하게 되어 여러 차례 그 조정문제가 논의되었다. 1517년(중종 12) 7월의 가관실태와 감축내역을 보면, 왕자군 · 내시부의 사부 및 한성부 2인, 사옹원 2인, 선공감감역관 2인, 통례원가인의 2인, 별와서 · 상서원 2인, 통례원상사관 5인, 내의원겸관 2인, 의장고 4인, 군적청가낭관 2인, 원유사종사관 2인, 군기시감조관 2인, 그리고 팽배 · 대졸 등 잡직 예비체아 71인이었다. 그러나 이러한 감축은 여러 가지 사정으로 잘 시행되지 못하였다. 이 때의 가관들 중에는 그 필요성 때문에 뒤에 정직화한 것도 있었는데, 통례원의 가인의, 선공감의 가감역관, 승정원의 가주서 등이 그것이다. 한편, 중요관직에 갑자기 결원이 생기거나, 관직자의 질병 · 탄핵 등으로 인한 업무공백이 있을 경우에도 임시로 가관을 운용하였다. 그들은 주로 타관서의 관원으로 겸직하게 하였는데, 특히 승정원 · 6조 · 3사 등의 중요아문에서 대리직가관이 임명되는 경우가 많았다. 1522년 2월에는 6승지가 모두 해직되어 잠시 동안 가승지를 임명하였고, 그 해 10월에는 승정원이 대간의 탄핵을 받아 시비가 판별될 때까지 가승지를 임용한 사례가 있었다. 또, 병조의 당상관이나 낭관들은 숙직을 불편하게 여겨, 조그만 유고가 있어도 그것을 핑계로 가관을 차출하여 숙직을 대리하게 하였는데, 그들을 가참지 · 가낭관이라 하였다. 또한, 문신과 마찬가지로 무신도 가관직제도를 운용하였는데, 특히 전쟁중 어느 장수가 결원이 생겼을 경우 주장의 명령으로 임시로 장군의 직책을 맡는 예가 있었다. 가관에 임용되었던 사람들은 대체로 그 자리에 정식관원으로 임명되는 경우가 많았다."
제도,가극,"조선시대, 귀양 간 사람에게 내리던 형벌의 하나로, 귀양살이하는 죄인의 집 둘레에 가시가 많은 탱자나무를 둘러치고 그 안에 가두어 외부와의 접촉을 제한한 가택연금 형식의 형벌.","섬 등 벽지에 죄인을 감금 상태로 두어 외부와의 연락을 끊음으로써 고통을 주어 죄를 뉘우치도록 하고자 하는 것이다. 위리안치와 같은 뜻을 갖는 유형주1의 일종으로, 귀양살이하는 집에 가둔다는 의미이다. 귀양살이하는 죄인은 새로 집을 구하는 일, 집 둘레에 탱자나무를 치는 일 등을 모두 스스로 마련하여야 하였다. 죄인의 집 앞에는 문을 지키는 사람을 두어 외부 사람이 왕래하지 못하도록 하였고, 수령이 불시에 점검하여 규칙을 어겼을 때 처벌하도록 하였다. 이러한 상황은 1702년에 제주도로 유배를 간 오시복이 제주목사 이형상에게 보낸 편지에 잘 나타나 있다. 오시복은 편지에서 ""울타리는 자못 넓어 무릎을 펼 만하며, 가운데 세 집이 있으나 모두 잠자기가 어렵고 궁색한 곳들입니다. 방 한 칸은 말통만하여 누추하기가 말할 수 없어 한 사람이 겨우 팔을 구부리고 누울 정도입니다. 몇 칸의 초가를 급히 때맞추어 지어주지 않으면 안 되겠기에 귀 색리주2에게 방도를 꾀하여 보았지만, 다만 그 역시 아마 다른 관청 좌수여서인지 손대기가 어려울 것 같다고 하니, 이 때문에 고민입니다. …… 노복주3들에게 단단히 일러서 절대 울타리 밖으로 출입을 못하도록 하니, 물이나 불도 빌릴 수 없고 식기도 절대 모자라서 잠시 놓아둘 채소라도 또한 바꿀 길이 없으니 절박한 사정을 어찌하오리까.""라고 쓰고 있다. 이 편지는 오시복이 자신과 절친한 이형상에게 전하는 일종의 청탁이자 하소연이었다. 이와 같이 가극은 그 형벌이 혹독하여 죄인이 귀양살이를 견디지 못하고 뇌물을 써서 읍내로 주거지를 옮겼다가 적발되기도 하였다. 오시복의 편지를 받은 이형상도 오시복에게 편의를 주었다가 이것이 빌미가 되어 관직이 바뀌게 되었다."
물품,가교,조선시대 왕과 왕세자의 능행() 및 열무 참관 등 장거리 행차 때에 사용하던 가마.,"들채를 앞뒤 두마리 말의 멍에에 매달아 운행하였다. 왕이 탄 가교를 어가 혹은 대가라 하였고, 행렬의 앞에 예비로 운행하는 빈 가교를 공가교라 하였다. 가교의 명칭은 주로 조선 후기의 문헌에 나타나고 능행도 등에서 잘 묘사되고 있으나 그 기원은 고려시대의 상로·초요 등에서 비롯된 것으로 보이며, 조선시대 왕들의 보편적 교통수단이었던 연을 간편하게 개량한 것이었다. 그 형태는 연과 마찬가지로 두개의 긴 들채［］ 위에 옥교를 얹은 것인데, 왕의 것은 붉은색 바탕에 황금색 장식을 주로 하였고, 왕세자의 것은 들채와 창틀을 검정색으로 하였다. 옥개는 모두 아청색이었고, 앞뒤에는 용두를 부착하고, 또 옥개의 정상에는 주석으로 연화모양의 장식을 첨가하였다. 운행시에는 황색의 복장을 한 하례들이 들채를 잡고 평형을 유지하게 하였는데, 어가는 전후좌우에 2인씩 8인이었고, 왕세자의 가교는 1인씩 4인이었다. 또, 이들을 지휘하여 안전하게 운행하도록 인도하는 사람을 가교봉도라고 하였다. 왕비나 모후의 원거리 행차 때에도 가교가 사용된 예가 있는데, 1795년(정조 19)혜경궁 홍씨의 수원 현륭원 행차 때는 왕의 감독하에 특별히 제작되기도 하였다."
제도,가금법,고관이나 특별한 관원이 행차할 때 위험을 제거하고 위엄을 세우기 위해 선두에서 인도하는 하인이 큰 소리로 앞길을 치우는 의장제도.,"보통 가갈 · 갈도라고 하며, 그 밖에 가도 · 창가 · 가인 · 벽제 · 벽인이라고도 한다. 이는 원래 중국에서 연유한 것으로 한대에는 경조윤 · 하남윤 · 집금오 · 사례교위 등에게 갈도가 허용되었다. 우리 나라에서는 율령제 국가이던 삼국시대부터 수용되었을 것으로 짐작된다. 고려시대에는 충렬왕 무렵에 이조년이 그의 아버지가 생전에 경산부의 이속이었으므로, 집에 있을 때에도 부관이 출입할 때의 갈도 소리가 들리면 반드시 의자에서 내려 땅에 엎드리며 갈도 소리가 안 들리게 된 뒤에야 일어나 앉았다고 하는 기록이 있는 것으로 보아, 제도로서의 갈도가 행해졌음을 알 수 있다. 조선시대에는 시기에 따라 조금씩 다르나 4품 이상의 관사로서 재판권 · 소추권, 그와 관련된 직무, 왕명의 출납을 관장하는 관원과 병조 예하의 관원, 기타 특권이 부여된 관원이 출퇴근과 공무 집행을 위해 행차하는 경우에 한해 갈도할 수 있었다. 다른 경우에는 하인이 길을 인도하는 전도를 할 수 있었다. 4품 이상의 관사에는 전도와 갈도의 직무를 담당하는 하인인 조례가 있었는데, 이를 나장 또는 사령이라고 통칭하였다. 따로 사헌부에서는 갈도, 사간원에서는 정리라고 했다가 1417년(태종 17) 11월부터 정리도 갈도라고 부르게 되었다. 그런데 이 정리라는 명칭은 주로 고려시대부터 사용되었다. 뒤에 사헌부는 소유로 바꾸었으며, 승정원에서는 인배사령, 종친부에서는 인배라고 하고, 그 밖의 관사인 병조 · 형조 · 도총부 · 전옥서 · 감영 · 군현에서는 사령이라고 했다. 이 갈도 · 소유 · 인배 · 사령은 관사마다 정원이 있었다. 사간원은 갈도 15인, 사헌부는 소유 61인, 승정원은 인배사령 6인, 홍문관은 인배 11인, 규장각은 인배 4인, 의금부는 나장 80인, 한성부는 구종 14인 등이었다. 이들은 전도 또는 갈도할 때에 오건을 쓰고 엷은 붉은 색 옷에 혁대를 띠게 하여 다른 사령과 구별하였다. 조선시대 갈도는 위와 같이 제한되어 허용되었다. 그러나 실제로는 개인적인 일인 경우나 전도를 할 경우에도 가갈을 하였다. 조선 초에는 새로 생원시에 합격한 생원이 가갈하는 것이 향풍으로 되어 있었다. 궐내에서는 원래 승지, 사헌부와 사간원의 대간, 뒤에는 규장각의 현직인 직제학 · 직각 · 대교에 한해서 갈도가 허용되었고, 홍문관이나 세자시강원의 관원은 전도만이 허용되었으나, 엄격히 지켜지지 못하였다. 그러므로 궐 밖에서는 전도에서도 가갈하는 것이 예사였다. 갈도하기 위해 하는 가갈은 큰 소리로 절도있게 외치면서 행차 길의 앞과 좌우에 있는 사람들을 물러서 있게 함으로써 행차 길을 치우는 것이다. 이 때 행인이 가갈을 당하면 걷던 자는 멈추고 앉은 자는 서며 말탄 자는 말에서 내려야 하며, 행차 길을 가로지르지 못하였다. 이를 위반하거나 거역하면 붙잡혀 길가의 집에 구금되었으며, 가갈하는 말은 매우 거칠고 불손하였다. 오늘날에도 대통령 · 국빈을 위해 경호, 전도하면서 차량과 사람의 통행을 제한하는 의전 절차가 있고 필요한 경우에 전도만 하는 경우가 있다. 이는 전도 · 갈도의 근대화된 것이다."
